,Sapporo_Sp,Sapporo,Shiretoko,Noboribetsu,Muroran,Otaru,Esashi,Furano,Biei,Asahikawa,Kushiro,Abashiri,Monbetsu,Numuro,Wakkanai,Obihiro,Rumoi,Hakodate,Hakodate_Sp
Sapporo_Sp,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,1,1,0
Sapporo,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,1,1,0
Shiretoko,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Noboribetsu,1,1,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,1,1
Muroran,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
Otaru,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Esashi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Furano,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0
Biei,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Asahikawa,1,1,0,1,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0
Kushiro,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
Abashiri,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Monbetsu,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Numuro,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Wakkanai,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Obihiro,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Rumoi,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Hakodate,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
Hakodate_Sp,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0